cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name,is_code_smell
1,3,False,<init>#org.adblockplus.android.ProxyService$3,false
2,4,True,onReceive#org.adblockplus.android.ProxyService$3,false
8,64,True,onReceive#org.adblockplus.android.ProxyService$5,false
1,3,False,<init>#org.adblockplus.android.ProxyService$5,false
1,3,False,<init>#org.adblockplus.android.ProxyService$4,false
2,4,True,onReceive#org.adblockplus.android.ProxyService$4,false
1,2,False,<init>#org.adblockplus.android.updater.AlarmReceiver,false
7,29,True,onReceive#org.adblockplus.android.updater.AlarmReceiver,false
1,2,False,<init>#org.adblockplus.android.Starter,false
4,16,True,onReceive#org.adblockplus.android.Starter,false
1,2,True,onReceive#org.adw.extensions.battery.BatteryExtension$1,false
1,3,False,<init>#org.adw.extensions.battery.BatteryExtension$1,false
2,8,True,onReceive#org.adw.ho$b$1,false
1,3,False,<init>#org.adw.ho$b$1,false
5,11,True,onReceive#org.adw.library.customwidget.CustomWidgetEditorActivity$6,false
1,3,False,<init>#org.adw.library.customwidget.CustomWidgetEditorActivity$6,false
1,3,False,<init>#org.adw.aev$1,false
2,12,True,onReceive#org.adw.aev$1,false
1,3,False,<init>#org.adw.extensions.time.TimeExtension$1,false
1,2,True,onReceive#org.adw.extensions.time.TimeExtension$1,false
3,9,True,onReceive#org.adw.launcher.WallpaperChangeReceiver,false
1,2,False,<init>#org.adw.launcher.WallpaperChangeReceiver,false
3,10,False,c#org.adw.library.model.UninstallShortcutReceiver,false
9,54,True,onReceive#org.adw.library.model.UninstallShortcutReceiver,false
1,1,False,a#org.adw.library.model.UninstallShortcutReceiver,false
1,2,False,<init>#org.adw.library.model.UninstallShortcutReceiver,false
3,31,False,a#org.adw.library.model.UninstallShortcutReceiver,false
1,2,False,b#org.adw.library.model.UninstallShortcutReceiver,false
1,2,False,<clinit>#org.adw.library.model.UninstallShortcutReceiver,false
21,75,True,onReceive#org.adw.ahc$a,false
1,3,False,<init>#org.adw.ahc$a,false
1,2,False,<init>#org.adw.ahc$a,false
8,19,True,onReceive#org.adw.wn,false
1,2,False,a#org.adw.wn,false
1,7,False,<init>#org.adw.wn,false
4,12,True,onReceive#org.adw.ra$8,false
1,3,False,<init>#org.adw.ra$8,false
1,2,False,a#org.adw.library.model.InstallShortcutReceiver,false
1,1,False,a#org.adw.library.model.InstallShortcutReceiver,false
1,2,False,<clinit>#org.adw.library.model.InstallShortcutReceiver,false
7,50,False,a#org.adw.library.model.InstallShortcutReceiver,false
16,95,True,onReceive#org.adw.library.model.InstallShortcutReceiver,false
6,39,False,a#org.adw.library.model.InstallShortcutReceiver,false
8,25,False,b#org.adw.library.model.InstallShortcutReceiver,false
3,4,False,a#org.adw.library.model.InstallShortcutReceiver,false
1,2,False,<init>#org.adw.library.model.InstallShortcutReceiver,false
1,2,False,<init>#org.adw.launcher.NextDayAlarmReceiver,false
1,12,False,a#org.adw.launcher.NextDayAlarmReceiver,false
3,9,True,onReceive#org.adw.launcher.NextDayAlarmReceiver,false
1,2,False,h#org.adw.afg,false
1,1,False,c#org.adw.afg,false
2,9,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,b#org.adw.afg,false
1,1,False,c#org.adw.afg,false
1,0,False,a#org.adw.afg,false
1,2,False,l#org.adw.afg,false
4,15,False,x#org.adw.afg,false
2,4,False,b#org.adw.afg,false
1,1,False,d#org.adw.afg,false
2,5,False,a#org.adw.afg,false
1,0,False,a#org.adw.afg,false
2,3,False,d#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,1,False,a#org.adw.afg,false
6,45,False,u#org.adw.afg,false
8,34,False,h#org.adw.afg,false
1,1,False,o#org.adw.afg,false
1,2,False,o#org.adw.afg,false
9,36,False,i#org.adw.afg,false
1,2,False,A#org.adw.afg,false
1,2,False,a#org.adw.afg,false
3,18,False,a#org.adw.afg,false
1,1,False,b#org.adw.afg,false
2,10,False,i#org.adw.afg,false
1,8,False,a#org.adw.afg,false
4,15,False,f#org.adw.afg,false
1,2,False,b#org.adw.afg,false
4,22,False,y#org.adw.afg,false
5,22,False,a#org.adw.afg,false
3,16,False,c#org.adw.afg,false
1,3,False,a#org.adw.afg,false
10,24,False,b#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,3,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,m#org.adw.afg,false
3,11,False,b#org.adw.afg,false
1,9,False,c#org.adw.afg,false
1,2,False,c#org.adw.afg,false
3,13,False,k#org.adw.afg,false
1,2,False,n#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,r#org.adw.afg,false
16,59,False,a#org.adw.afg,false
1,2,False,b#org.adw.afg,false
1,3,False,a#org.adw.afg,false
3,8,False,b#org.adw.afg,false
1,2,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
2,13,False,v#org.adw.afg,false
1,3,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
2,8,False,a#org.adw.afg,false
9,20,True,onReceive#org.adw.afg,false
1,2,False,b#org.adw.afg,false
7,18,False,c#org.adw.afg,false
6,32,False,w#org.adw.afg,false
7,33,False,a#org.adw.afg,false
8,27,False,a#org.adw.afg,false
1,2,False,d#org.adw.afg,false
16,37,False,a#org.adw.afg,false
1,3,False,a#org.adw.afg,false
18,62,False,a#org.adw.afg,false
2,4,False,p#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
8,50,False,c#org.adw.afg,false
1,9,False,a#org.adw.afg,false
2,4,False,a#org.adw.afg,false
1,2,False,g#org.adw.afg,false
3,7,False,a#org.adw.afg,false
1,5,False,a#org.adw.afg,false
11,39,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
3,4,False,c#org.adw.afg,false
1,1,False,k#org.adw.afg,false
7,24,False,c#org.adw.afg,false
3,7,False,c#org.adw.afg,false
1,5,False,<clinit>#org.adw.afg,false
1,1,False,b#org.adw.afg,false
1,1,False,p#org.adw.afg,false
3,11,False,a#org.adw.afg,false
1,0,False,l#org.adw.afg,false
8,41,False,a#org.adw.afg,false
3,7,False,a#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,1,False,j#org.adw.afg,false
2,15,False,a#org.adw.afg,false
1,2,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,28,False,b#org.adw.afg,false
1,2,False,m#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,b#org.adw.afg,false
2,4,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,i#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,8,False,c#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,e#org.adw.afg,false
11,45,False,a#org.adw.afg,false
1,2,False,s#org.adw.afg,false
1,1,False,n#org.adw.afg,false
2,3,False,e#org.adw.afg,false
1,3,False,r#org.adw.afg,false
2,6,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,g#org.adw.afg,false
1,1,False,q#org.adw.afg,false
1,2,False,q#org.adw.afg,false
2,11,False,b#org.adw.afg,false
1,1,False,b#org.adw.afg,false
1,3,False,z#org.adw.afg,false
1,1,False,h#org.adw.afg,false
7,35,False,a#org.adw.afg,false
3,7,False,a#org.adw.afg,false
3,23,False,d#org.adw.afg,false
8,17,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
2,11,False,e#org.adw.afg,false
7,37,False,d#org.adw.afg,false
1,2,False,a#org.adw.afg,false
7,48,False,a#org.adw.afg,false
1,2,False,a#org.adw.afg,false
5,12,False,a#org.adw.afg,false
2,10,False,j#org.adw.afg,false
10,58,False,g#org.adw.afg,false
1,7,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,1,False,a#org.adw.afg,false
4,19,False,a#org.adw.afg,false
1,1,False,f#org.adw.afg,false
1,1,False,a#org.adw.afg,false
1,2,False,b#org.adw.afg,false
1,1,False,e#org.adw.afg,false
1,2,False,a#org.adw.afg,false
2,42,False,<init>#org.adw.afg,false
3,7,False,b#org.adw.afg,false
2,5,False,b#org.adw.afg,false
1,2,False,a#org.adw.afg,false
1,3,False,a#org.adw.afg,false
1,1,False,c#org.adw.afg,false
1,3,False,a#org.adw.afg,false
2,4,False,c#org.adw.afg,false
1,4,False,a#org.adw.afg,false
1,2,False,e#org.adw.afg,false
1,2,False,t#org.adw.afg,false
1,3,False,a#org.adw.afg,false
11,38,False,a#org.adw.afg,false
1,4,False,a#org.adw.afg,false
2,2,False,a#org.adw.afg,false
2,4,False,b#org.adw.afg,false
1,2,False,f#org.adw.afg,false
1,2,False,<init>#org.adw.aed,false
2,9,False,unregister#com.google.android.gms.common.api.internal.zabq,false
1,3,False,<init>#com.google.android.gms.common.api.internal.zabq,false
1,2,False,zac#com.google.android.gms.common.api.internal.zabq,false
3,10,True,onReceive#com.google.android.gms.common.api.internal.zabq,false
2,12,False,setWantWifiLock#org.connectbot.service.ConnectivityReceiver,false
2,4,False,cleanup#org.connectbot.service.ConnectivityReceiver,false
3,19,False,<init>#org.connectbot.service.ConnectivityReceiver,false
3,6,False,releaseWifiLockIfNecessaryLocked#org.connectbot.service.ConnectivityReceiver,false
1,9,False,incRef#org.connectbot.service.ConnectivityReceiver,false
4,8,False,acquireWifiLockIfNecessaryLocked#org.connectbot.service.ConnectivityReceiver,false
1,9,False,decRef#org.connectbot.service.ConnectivityReceiver,false
8,30,True,onReceive#org.connectbot.service.ConnectivityReceiver,false
1,2,False,isConnected#org.connectbot.service.ConnectivityReceiver,false
2,7,True,onReceive#org.freshrss.easyrss.SyncingReceiver,false
1,2,False,<init>#org.freshrss.easyrss.SyncingReceiver,false
2,15,False,a#com.google.android.gms.internal.zzsy,false
1,1,False,h#com.google.android.gms.internal.zzsy,false
5,17,True,onReceive#com.google.android.gms.internal.zzsy,false
2,3,False,e#com.google.android.gms.internal.zzsy,false
3,9,False,f#com.google.android.gms.internal.zzsy,false
1,1,False,j#com.google.android.gms.internal.zzsy,false
1,1,False,i#com.google.android.gms.internal.zzsy,false
1,4,False,<init>#com.google.android.gms.internal.zzsy,false
1,2,False,d#com.google.android.gms.internal.zzsy,false
1,3,False,g#com.google.android.gms.internal.zzsy,false
2,8,False,c#com.google.android.gms.internal.zzsy,false
1,1,False,<clinit>#com.google.android.gms.internal.zzsy,false
2,11,False,b#com.google.android.gms.internal.zzsy,false
1,1,False,a#com.google.android.gms.analytics.CampaignTrackingReceiver,false
2,5,False,a#com.google.android.gms.analytics.CampaignTrackingReceiver,false
1,2,False,<init>#com.google.android.gms.analytics.CampaignTrackingReceiver,false
1,1,False,<clinit>#com.google.android.gms.analytics.CampaignTrackingReceiver,false
7,39,True,onReceive#com.google.android.gms.analytics.CampaignTrackingReceiver,false
1,1,False,a#com.google.android.gms.analytics.CampaignTrackingReceiver,false
1,3,False,<init>#com.google.android.gms.internal.zzaar,false
1,2,False,a#com.google.android.gms.internal.zzaar,false
3,9,True,onReceive#com.google.android.gms.internal.zzaar,false
2,9,False,a#com.google.android.gms.internal.zzaar,false
2,3,False,a#com.google.android.gms.analytics.AnalyticsReceiver,false
1,2,False,<init>#com.google.android.gms.analytics.AnalyticsReceiver,false
1,2,True,onReceive#com.google.android.gms.analytics.AnalyticsReceiver,false
2,8,True,onReceive#org.ligi.passandroid.InstallListener,false
1,2,False,<init>#org.ligi.passandroid.InstallListener,false
1,1,False,a#com.google.android.gms.tagmanager.InstallReferrerReceiver,false
1,2,False,<init>#com.google.android.gms.tagmanager.InstallReferrerReceiver,false
1,3,False,a#com.google.android.gms.tagmanager.InstallReferrerReceiver,false
1,3,False,<init>#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver,false
1,2,False,<init>#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver,false
3,9,True,onReceive#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver,false
1,3,True,onReceive#org.tint.ui.activities.TintBrowserActivity$2,false
1,3,False,<init>#org.tint.ui.activities.TintBrowserActivity$2,false
1,3,False,<init>#org.tint.ui.activities.TintBrowserActivity$1,false
1,2,True,onReceive#org.tint.ui.activities.TintBrowserActivity$1,false
1,3,False,<init>#com.androidemu.nes.DeviceListActivity$3,false
5,26,True,onReceive#com.androidemu.nes.DeviceListActivity$3,false
3,8,True,onReceive#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver,false
1,3,False,<init>#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver,false
1,2,False,<init>#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver,false
7,19,True,onReceive#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver,false
