cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name
1,2,false,<init>#org.ligi.passandroid.InstallListener
1,1,false,a#com.google.android.gms.tagmanager.InstallReferrerReceiver
1,2,false,<init>#com.google.android.gms.tagmanager.InstallReferrerReceiver
1,3,false,a#com.google.android.gms.tagmanager.InstallReferrerReceiver
1,3,false,<init>#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver
1,2,false,<init>#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver
3,9,true,onReceive#org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase$MyBroadcastReceiver
1,3,true,onReceive#org.tint.ui.activities.TintBrowserActivity$2
1,3,false,<init>#org.tint.ui.activities.TintBrowserActivity$2
1,3,false,<init>#org.tint.ui.activities.TintBrowserActivity$1
1,2,true,onReceive#org.tint.ui.activities.TintBrowserActivity$1
1,3,false,<init>#com.androidemu.nes.DeviceListActivity$3
5,26,true,onReceive#com.androidemu.nes.DeviceListActivity$3
3,8,true,onReceive#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver
1,3,false,<init>#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver
1,2,false,<init>#com.facebook.internal.SessionTracker$ActiveSessionBroadcastReceiver
7,19,true,onReceive#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver
1,3,false,<init>#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver
1,2,false,<init>#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver
1,2,false,<init>#com.google.android.gcm.GCMBroadcastReceiver
1,1,false,getGCMIntentServiceClassName#com.google.android.gcm.GCMBroadcastReceiver
1,1,false,<clinit>#com.google.android.gcm.GCMBroadcastReceiver
1,1,false,getDefaultIntentServiceClassName#com.google.android.gcm.GCMBroadcastReceiver
3,19,true,onReceive#com.google.android.gcm.GCMBroadcastReceiver
1,3,false,<init>#com.mixpanel.android.mpmetrics.GCMReceiver
2,24,false,handleNotificationIntent#com.mixpanel.android.mpmetrics.GCMReceiver
3,8,true,onReceive#com.mixpanel.android.mpmetrics.GCMReceiver
4,16,false,handleRegistrationIntent#com.mixpanel.android.mpmetrics.GCMReceiver
5,11,true,onReceive#org.ale.openwatch.WhatHappenedActivity$12
1,3,false,<init>#org.ale.openwatch.WhatHappenedActivity$12
4,16,true,onReceive#org.ale.openwatch.OWPhotoReviewActivity$6
1,3,false,<init>#org.ale.openwatch.OWPhotoReviewActivity$6
4,26,false,sendNotification#org.ale.openwatch.gcm.OWGcmBroadcastReceiver
3,23,true,onReceive#org.ale.openwatch.gcm.OWGcmBroadcastReceiver
1,20,false,showNotificationWithContentIntent#org.ale.openwatch.gcm.OWGcmBroadcastReceiver
1,2,false,<init>#org.ale.openwatch.gcm.OWGcmBroadcastReceiver
