has_onLowMemory,extend_class,full_name,is_code_smell
False,False,org.connectbot.GeneratePubkeyActivity,true
False,False,ca.cmetcalfe.locationshare.SettingsActivity,true
False,False,ca.cmetcalfe.locationshare.MainActivity,true
False,False,com.internalpositioning.find3.find3app.MainActivity,true
False,False,se.tube42.kidsmem.android.MainActivity,true
False,False,net.gsantner.markor.activity.MainActivity,true
False,False,net.gsantner.markor.activity.openeditor.OpenEditorActivity,true
False,False,net.gsantner.markor.activity.SettingsActivity,true
False,False,net.gsantner.markor.activity.openeditor.OpenEditorTodoActivity,true
False,False,net.gsantner.markor.activity.DocumentActivity,true
False,False,net.gsantner.markor.activity.openeditor.OpenEditorQuickNoteActivity,true
False,False,net.gsantner.markor.activity.openeditor.OpenEditorLinkBoxActivity,true
False,False,cl.coders.faketraveler.MainActivity,true
False,False,cl.coders.faketraveler.MoreActivity,true
False,False,org.freshrss.easyrss.Home,true
False,False,ch.abertschi.adfree.view.MainActivity,true
False,False,net.pmarks.chromadoze.ChromaDoze,true
False,False,com.traffar.gomoku.gomokuActivity,true
False,False,com.mathi_amorim.emmanuel.metrictime.SettingsActivity,true
False,False,com.mathi_amorim.emmanuel.metrictime.MainActivity,true
False,False,com.liato.bankdroid.LockablePreferenceActivity,true
False,False,com.liato.bankdroid.AboutActivity,true
False,False,com.liato.bankdroid.LockableActivity,true
False,False,com.liato.bankdroid.lockpattern.ChooseLockPatternTutorial,true
False,False,com.liato.bankdroid.appwidget.WidgetConfigureActivity,true
False,False,com.liato.bankdroid.lockpattern.ChooseLockPattern,true
False,False,com.liato.bankdroid.SettingsActivity,true
False,False,com.liato.bankdroid.PairApplicationsActivity,true
False,False,com.liato.bankdroid.BankEditActivity,true
False,False,com.liato.bankdroid.TransactionsActivity,true
False,False,com.liato.bankdroid.MainActivity,true
False,False,com.liato.bankdroid.lockpattern.ConfirmLockPattern,true
False,False,com.liato.bankdroid.lockpattern.ChooseLockPatternExample,true
False,False,com.liato.bankdroid.WebViewActivity,true
False,False,com.shkmishra.lyrically.PreferenceActivity,true
False,False,com.shkmishra.lyrically.MainActivity,true
False,True,aarddict.android.Lookup,false
False,True,aarddict.android.Article,false
False,True,aarddict.android.DictionariesActivity,false
False,True,aarddict.android.ArticleViewActivity,false
False,True,aarddict.android.LookupActivity,false
False,True,aarddict.android.DictionaryInfoActivity,false
False,True,com.eleybourn.bookcatalogue.booklist.BooklistStylesActivity,false
False,True,com.eleybourn.bookcatalogue.BooksOnBookshelf,false
False,True,com.eleybourn.bookcatalogue.FieldVisibility,false
False,True,com.eleybourn.bookcatalogue.EditObjectList,false
False,True,com.eleybourn.bookcatalogue.goodreads.GoodreadsAuthorizationActivity,false
False,True,com.eleybourn.bookcatalogue.MainMenu,false
False,True,com.eleybourn.bookcatalogue.TaskListActivity,false
False,True,com.eleybourn.bookcatalogue.goodreads.GoodreadsExportFailuresActivity,false
False,True,com.eleybourn.bookcatalogue.BookCatalogue,false
False,True,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchResults,false
False,True,com.eleybourn.bookcatalogue.PreferencesBase,false
False,True,com.eleybourn.bookcatalogue.booklist.BooklistStyleGroupsActivity,false
False,True,com.eleybourn.bookcatalogue.EditSeriesList,false
False,True,com.eleybourn.bookcatalogue.BookISBNSearch,false
False,True,com.eleybourn.bookcatalogue.booklist.BooklistPreferencesActivity,false
False,True,com.eleybourn.bookcatalogue.cropper.CropCropImage,false
