lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
6,4,0,aarddict.android.ArticleViewActivity$AnimationAdapter
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$IntegerDeserializer
0,1,1,org.codehaus.jackson.map.deser.UntypedObjectDeserializer$1
0,2,0,aarddict.VerifyProgressListener
3,3,1,org.codehaus.jackson.map.introspect.BasicClassIntrospector$GetterMethodFilter
0,6,3,org.codehaus.jackson.map.jsontype.impl.TypeDeserializerBase
0,1,0,org.codehaus.jackson.annotate.JsonSubTypes
1,2,0,org.codehaus.jackson.map.ser.StdSerializers$NonTypedScalarSerializer
7,7,3,org.codehaus.jackson.map.introspect.MemberKey
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$FloatSerializer
0,1,2,aarddict.IndexItem
3,3,0,org.codehaus.jackson.map.ser.FilteredBeanPropertyWriter
0,1,0,aarddict.android.ArticleView$ScrollListener
3,3,0,org.codehaus.jackson.map.ext.JodaDeserializers$DateMidnightDeserializer
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$BooleanDeser
0,2,1,org.codehaus.jackson.map.ser.FilteredBeanPropertyWriter$MultiView
4,4,1,org.codehaus.jackson.map.ext.DOMSerializer
1,3,1,org.codehaus.jackson.map.deser.StdKeyDeserializer$EnumKD
0,5,3,org.codehaus.jackson.map.deser.Creator$PropertyBased
0,2,2,aarddict.android.DictionariesActivity$DictListAdapter$6
0,2,2,aarddict.android.DictionariesActivity$DictListAdapter$5
6,5,2,org.codehaus.jackson.map.deser.SettableBeanProperty$CreatorProperty
0,2,4,aarddict.android.DictionariesActivity$DictListAdapter$4
0,2,2,aarddict.android.DictionariesActivity$DictListAdapter$3
0,2,1,aarddict.android.DictionariesActivity$DictListAdapter$2
0,2,1,aarddict.android.DictionariesActivity$DictListAdapter$1
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$BigIntegerDeserializer
1,2,1,org.codehaus.jackson.map.deser.ThrowableDeserializer
0,2,2,org.codehaus.jackson.map.deser.PropertyValue
0,1,0,org.codehaus.jackson.annotate.JsonValue
0,1,0,org.codehaus.jackson.map.ResolvableDeserializer
4,4,4,org.codehaus.jackson.map.annotate.JsonSerialize$Inclusion
3,6,1,org.codehaus.jackson.map.ser.EnumSerializer
0,1,0,org.codehaus.jackson.annotate.JsonWriteNullProperties
0,1,0,org.codehaus.jackson.map.JsonSerializer$None
3,3,0,org.codehaus.jackson.impl.DefaultPrettyPrinter$NopIndenter
3,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer$URLDeserializer
0,2,3,aarddict.android.DictionariesActivity$1$1
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$CharDeser
0,6,0,org.codehaus.jackson.map.ClassIntrospector
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$ShortDeser
0,1,1,aarddict.android.DictionaryService$1
3,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer$UUIDDeserializer
0,2,2,aarddict.android.DictionaryService$4
0,2,1,aarddict.android.DictionaryService$3
1,2,1,aarddict.android.DictionaryService$2
1,3,1,org.codehaus.jackson.map.ser.FailingSerializer
6,4,0,org.codehaus.jackson.map.ser.JdkSerializers$ClassSerializer
