lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
0,2,1,aarddict.android.DictionariesActivity$3$1,false
0,1,0,org.codehaus.jackson.map.ResolvableSerializer,false
0,4,1,org.codehaus.jackson.map.util.EnumValues,false
0,3,3,aarddict.android.ArticleViewActivity$8,false
0,2,2,aarddict.android.ArticleViewActivity$7,false
0,2,1,aarddict.android.ArticleViewActivity$9,false
0,2,1,aarddict.android.ArticleViewActivity$2,false
0,2,1,aarddict.android.ArticleViewActivity$1,false
0,4,1,aarddict.android.ArticleViewActivity$4,false
1,3,1,aarddict.android.ArticleViewActivity$3,false
0,2,1,aarddict.android.ArticleViewActivity$6,false
0,2,2,aarddict.android.ArticleViewActivity$5,false
6,4,1,org.codehaus.jackson.map.ser.ToStringSerializer,false
2,4,2,org.codehaus.jackson.map.util.ObjectBuffer$Node,false
0,1,0,aarddict.Volume$FormatException,false
0,8,0,org.codehaus.jackson.map.TypeDeserializer,false
4,6,4,org.codehaus.jackson.map.ser.ContainerSerializers$AsArraySerializer,false
0,4,3,org.codehaus.jackson.impl.StreamBasedParserBase,false
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$IntDeser,false
0,3,2,org.codehaus.jackson.map.ser.BasicSerializerFactory$SerializerMapping,false
3,4,1,org.codehaus.jackson.map.type.TypeBase,false
