lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
50,17,21,org.tint.ui.views.PanelLayout
781,51,33,org.connectbot.service.TerminalBridge
58,16,16,org.connectbot.service.TerminalKeyListener
622,41,43,org.connectbot.HostEditorFragment
51,19,9,org.connectbot.bean.PortForwardBean
276,29,32,org.connectbot.TerminalView
231,30,49,org.connectbot.util.UberColorPickerDialog$ColorPickerView
844,48,26,org.connectbot.service.TerminalManager
887,50,40,org.connectbot.ConsoleActivity
757,43,19,org.connectbot.transport.SSH
147,22,12,org.connectbot.bean.PubkeyBean
652,44,19,org.connectbot.bean.HostBean
64,17,13,org.connectbot.HostListActivity
247,26,16,org.connectbot.GeneratePubkeyActivity
86,17,19,com.internalpositioning.find3.find3app.ScanService
51,26,11,net.gsantner.markor.activity.DocumentEditFragment
139,19,11,org.freshrss.easyrss.network.AbsDataSyncer
48,13,38,org.freshrss.easyrss.data.Setting
1255,62,12,org.freshrss.easyrss.data.DataMgr
285,30,17,org.freshrss.easyrss.view.OverScrollView
47,23,9,org.freshrss.easyrss.Home
124,21,19,org.freshrss.easyrss.VerticalSingleItemView
370,29,11,org.freshrss.easyrss.WebpageItemViewCtrl
1414,56,15,org.freshrss.easyrss.FeedViewCtrl
57,14,22,org.freshrss.easyrss.view.ScaleGestureDetector
313,26,9,org.freshrss.easyrss.LoginViewCtrl
246,29,18,org.freshrss.easyrss.view.TouchImageView
298,29,22,org.freshrss.easyrss.data.Subscription
40,16,18,org.freshrss.easyrss.view.HorizontalPager
33,11,9,org.freshrss.easyrss.data.ItemTag
813,42,13,org.freshrss.easyrss.HomeViewCtrl
559,39,27,org.freshrss.easyrss.data.Item
82,17,18,org.freshrss.easyrss.data.Transaction
52,13,28,org.freshrss.easyrss.data.DataProvider
199,23,17,org.freshrss.easyrss.network.NetworkMgr
78,17,13,org.freshrss.easyrss.data.Tag
76,16,27,org.freshrss.easyrss.view.Scroller
207,23,9,ch.abertschi.adfree.view.setting.SettingsActivity
187,22,10,ch.abertschi.adfree.model.RemoteSetting
371,31,12,ch.abertschi.adfree.plugin.interdimcable.InterdimCablePlugin
104,17,13,com.amaze.filemanager.asynchronous.services.ZipService
15,11,9,com.amaze.filemanager.activities.DatabaseViewerActivity
16,12,21,com.amaze.filemanager.fragments.ProcessViewerFragment
183,23,11,com.amaze.filemanager.adapters.CompressedExplorerAdapter
248,25,19,com.amaze.filemanager.asynchronous.services.EncryptService
12,8,13,com.amaze.filemanager.ui.dialogs.GeneralDialogCreation$1
137,18,11,com.amaze.filemanager.utils.application.AppConfig
273,26,19,com.amaze.filemanager.asynchronous.services.DecryptService
25,10,10,com.amaze.filemanager.fragments.AppsListFragment
135,35,25,com.amaze.filemanager.adapters.RecyclerAdapter
2077,78,50,com.amaze.filemanager.fragments.MainFragment
208,28,31,com.amaze.filemanager.fragments.CompressedExplorerFragment
131,19,13,com.amaze.filemanager.asynchronous.services.ExtractService
765,46,23,com.amaze.filemanager.fragments.FtpServerFragment
65,15,12,com.amaze.filemanager.utils.ServiceWatcherUtil
228,28,21,com.amaze.filemanager.ui.views.appbar.BottomBar
267,26,18,com.amaze.filemanager.asynchronous.services.CopyService
379,38,20,com.amaze.filemanager.ui.views.drawer.Drawer
36,13,16,com.amaze.filemanager.adapters.data.LayoutElementParcelable
2958,89,43,com.amaze.filemanager.activities.MainActivity
138,24,16,com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask
908,48,44,com.amaze.filemanager.ui.views.Indicator
536,41,11,com.amaze.filemanager.utils.DataUtils
179,27,19,com.amaze.filemanager.activities.TextEditorActivity
105,23,12,net.pmarks.chromadoze.UIState
106,17,10,net.pmarks.chromadoze.NoiseService
47,14,15,net.pmarks.chromadoze.EqualizerView
106,20,11,net.pmarks.chromadoze.SampleShuffler
1656,61,32,com.liato.bankdroid.banking.Bank
626,37,19,com.liato.bankdroid.banking.banks.sebkort.model.BillingUnit
26,8,11,com.liato.bankdroid.banking.banks.seb.SEB
219,23,15,com.liato.bankdroid.lockpattern.LockPatternUtils
190,21,10,com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccountList
297,27,11,com.liato.bankdroid.banking.Account
206,21,21,com.liato.bankdroid.banking.banks.avanza.model.Account
378,29,15,com.liato.bankdroid.banking.banks.sebkort.model.Transaction
87,14,14,com.liato.bankdroid.banking.banks.bitcoin.model.Transfer
23,15,17,com.liato.bankdroid.lockpattern.ChooseLockPattern
378,29,14,com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccount
16,9,19,com.liato.bankdroid.banking.banks.Skandiabanken
207,31,38,com.liato.bankdroid.lockpattern.LockPatternView
31,10,13,com.liato.bankdroid.banking.banks.lansforsakringar.Lansforsakringar
30,9,13,com.liato.bankdroid.banking.banks.SveaDirekt
231,23,11,com.liato.bankdroid.banking.banks.coop.model.web.Result
108,17,9,com.liato.bankdroid.banking.banks.sebkort.model.PendingTransactions
105,15,15,com.liato.bankdroid.banking.banks.avanza.model.Position
166,20,11,com.liato.bankdroid.api.configuration.FieldBuilder$BasicField
21,11,10,com.liato.bankdroid.liveview.LiveViewService
142,20,18,com.liato.bankdroid.lockpattern.ConfirmLockPattern
488,33,16,com.liato.bankdroid.banking.banks.ica.model.Overview
47,11,10,com.liato.bankdroid.banking.banks.coop.Coop
190,21,10,com.liato.bankdroid.banking.banks.lansforsakringar.model.response.Account
31,10,9,com.liato.bankdroid.lockpattern.ChooseLockPatternExample
39,10,14,com.liato.bankdroid.provider.BankTransactionsProvider
1310,56,28,com.shkmishra.lyrically.LyricsService
